title,date_written,date_published,form,collaborators,year_written,year_published
the alchemist,1908,nov 1916,short story,,1908,1916
the tomb,jun 1917,mar 1922,short story,,1917,1922
dagon,jul 1917,nov 1919,short story,,1917,1919
a reminiscence of dr. samuel johnson,sum-early fall 1917,sep 1917,short story,,1917,1917
polaris,spr-sum 1918,dec 1920,short story,,1918,1920
beyond the wall of sleep,spr 1919,oct 1919,short story,,1919,1919
memory,spr 1919,may 1923,flash fiction,,1919,1923
old bugs,c. jul 1919,1959,short story,,1919,1959
the transition of juan romero,16 september 1919,1944,short story,,1919,1944
the white ship,c. oct 1919,nov 1919,short story,,1919,1919
the doom that came to sarnath,3 december 1919,jun 1920,short story,,1919,1920
the statement of randolph carter,dec 1919,may 1920,short story,,1919,1920
the street,late 1919,dec 1920,short story,,1919,1920
the terrible old man,28 january 1920,jul 1921,short story,,1920,1921
the cats of ulthar,15 june 1920,nov 1920,short story,,1920,1920
the tree,jan-jun 1920,oct 1921,short story,,1920,1921
celephaïs,early nov 1920,may 1922,short story,,1920,1922
from beyond,16 november 1920,jun 1934,short story,,1920,1934
the temple,c. jun-nov 1920,sep 1925,short story,,1920,1925
nyarlathotep,c. nov 1920,nov 1920,short story,,1920,1920
the picture in the house,12 december 1920,sum 1921,short story,,1920,1921
facts concerning the late arthur jermyn and his family,fall 1920,mar & jun 1921,short story,,1920,1921
the nameless city,jan 1921,nov 1921,short story,,1921,1921
the quest of iranon,28 february 1921,jul-aug 1935,short story,,1921,1935
the moon-bog,march 10 1921,jun 1926,short story,,1921,1926
ex oblivione,1920 – mar 1921,mar 1921,short story,,1920,1921
the other gods,14 august 1921,nov 1933,short story,,1921,1933
the outsider,spr-sum 1921,apr 1926,short story,,1921,1926
the music of erich zann,dec 1921,mar 1922,short story,,1921,1922
sweet ermengarde,c. 1919–21?,1943,short story,,1919,1943
hypnos,mar 1922,may 1923,short story,,1922,1923
what the moon brings,5 june 1922,may 1923,short story,,1922,1923
azathoth,fragment jun 1922,jun 1938,fragment,,1922,1938
herbert west–reanimator,oct 1921 – jun 1922,feb-jul 1922,short story,,1921,1922
the hound,oct 1922,feb 1924,short story,,1922,1924
the lurking fear,nov 1922,jan-apr 1923,short story,,1922,1923
the rats in the walls,aug-sep 1923,mar 1924,short story,,1923,1924
the unnamable,sep 1923,jul 1925,short story,,1923,1925
the festival,oct 1923,jan 1925,short story,,1923,1925
the shunned house,oct 1924,oct 1937,short story,,1924,1937
the horror at red hook,1-2 aug 1925,jan 1927,short story,,1925,1927
he,11 august 1925,sep 1926,short story,,1925,1926
in the vault,18 september 1925,nov 1925,short story,,1925,1925
cool air,feb 1926,mar 1928,short story,,1926,1928
the call of cthulhu,aug-sep 1926,feb 1928,short story,,1926,1928
pickman's model,sep 1926,oct 1927,short story,,1926,1927
the strange high house in the mist,9 november 1926,oct 1931,short story,,1926,1931
the silver key,nov 1926,jan 1929,short story,,1926,1929
the dream-quest of unknown kadath,oct 1926-22 jan 1927,1943,novella,,1926,1943
the case of charles dexter ward,jan-mar 1927,may & jul 1941,novel,,1927,1941
the colour out of space,mar 1927,sep 1927,short story,,1927,1927
the descendant,fragment early 1927,1938,fragment,,1927,1938
the very old folk,3 november 1927,sum 1940,letter excerpt,,1927,1940
history of the necronomicon,fall 1927,1938,brief pseudo-history,,1927,1938
the dunwich horror,aug 1928,apr 1929,novella,,1928,1929
ibid,sum 1928,jan 1938,short story,,1928,1938
the whisperer in darkness,24 feb-sep 26 1930,aug 1931,novella,,1930,1931
at the mountains of madness,24 feb-mar 22 1931,feb-apr 1936,novella,,1931,1936
the shadow over innsmouth,nov-dec 1931,apr 1936,novella,,1931,1936
the dreams in the witch house,feb 1932,jul 1933,short story,,1932,1933
the thing on the doorstep,21-24 aug 1933,jan 1937,short story,,1933,1937
the book,fragment c. oct 1933,1938,fragment,,1933,1938
the evil clergyman,fall 1933,apr 1939,letter excerpt,,1933,1939
the shadow out of time,10 nov 1934-22 feb 1935,jun 1936,novella,,1934,1936
the haunter of the dark,5-9 nov 1935,dec 1936,short story,,1935,1936
the battle that ended the century,jun 1934,jun 1934,,r. h. barlow,1934,1934
bothon,1930,1946,,henry s. whitehead,1930,1946
the challenge from beyond,aug 1935,sep 1935,,c.l. moore; a. merritt; robert e. howard; frank belknap long,1935,1935
collapsing cosmoses,jun 1935,1938,,r. h. barlow,1935,1938
