Title,Date written,Date published,Collaborators
The Battle that Ended the Century,Jun 1934,Jun 1934,R. H. Barlow
Bothon,1930,1946,Henry S. Whitehead
The Challenge from Beyond,Aug 1935,Sep 1935,C.L. Moore; A. Merritt; Robert E. Howard; Frank Belknap Long
Collapsing Cosmoses,Jun 1935,1938,R. H. Barlow
The Crawling Chaos,c. Dec 1920,Apr 1921,Winifred V. Jackson
The Curse of Yig,Spring 1928,Nov 1929,Zealia Bishop
The Diary of Alonzo Typer,Oct 1935,Feb 1938,William Lumley
The Disinterment,Sep 1935,Jan 1937,Duane W. Rimel
The Electric Executioner,Jul 1929,Aug 1930,Adolphe de Castro
The Green Meadow,c. 1918–1919,Spring 1927,Winifred V. Jackson
Four O'Clock,1922,1949,Sonia Greene
The Hoard of the Wizard-Beast,1933,1933,R. H. Barlow
The Horror at Martin's Beach,Jun 1922,Nov 1923,Sonia Greene
The Horror in the Burying-Ground,c. 1933–1934,May 1937,Hazel Heald
The Horror in the Museum,Oct 1932,Jul 1933,Hazel Heald
Imprisoned with the Pharaohs,Feb 1924,May 1924,Harry Houdini
The Last Test,c. Oct-Nov 1927,Nov 1928,Adolphe de Castro
The Man of Stone,Summer 1932,Oct 1932,Hazel Heald
Medusa's Coil,c. May-Aug 1930,Jan 1939,Zealia Bishop
The Mound,c. Dec 1929 – Jan 1930,Nov 1940,Zealia Bishop
The Night Ocean,Summer 1936,Winter 1939,R. H. Barlow
Out of the Aeons,c. Aug 1933,Apr 1935,Hazel Heald
Poetry and the Gods,c. Summer 1920,Sep 1920,Anna Helen Crofts
The Slaying of the Monster,1933,1933,R. H. Barlow
The Sorcery of Aphlar,1934,1934,Duane W. Rimel
The Thing in the Moonlight,Nov 1927,Jan 1941,J. Chapman Miske
Through the Gates of the Silver Key,Oct 1932 – Apr 1933,Jul 1934,Edgar Hoffmann Price
Till A'the Seas,Jan 1935,Summer 1935,R. H. Barlow
The Trap,c. Summer 1931,Mar 1932,Henry S. Whitehead
The Tree on the Hill,May 1934,Sep 1940,Duane W. Rimel
Two Black Bottles,Jun-Oct 1926,Aug 1927,Wilfred Blanch Talman
In the Walls of Eryx,Jan 1936,Oct 1939,Kenneth Sterling
Winged Death,c. Summer 1932,Mar 1934,Hazel Heald
Satan's Servants,1935,1949,Robert Bloch
The Loved Dead,1919,May 1924,C. M. Eddy Jr.
The Ghost-Eater,,Apr 1924,C. M. Eddy Jr.
"Deaf, Dumb and Blind",,Apr 1925,C. M. Eddy Jr.
Ashes,1923,Mar 1924,C. M. Eddy Jr.
The Black Lotus,1934,1935,Robert Bloch
The Red Brain,1924,Oct 1927,Donald Wandrei
Vine Terror,1923,Sep 1934,Howard Wandrei
Something from above,1929,Dec 1930,Donald Wandrei
The Werewolf of Ponkert,1924,Jul 1925,H. Warner Munn
The Salem Horror,1936,May 1937,Henry Kuttner
