Year,Month,Title,Magazine
1916,November,The Alchemist,The United Amateur
1917,November,A Reminiscence of Dr. Samuel Johnson,The United Amateur
1918,June,The Beast in the Cave,The Vagrant
1919,June,Memory,The United Co-operative
1919,October,Beyond the Wall of Sleep,Pine Cones
1919,November,Dagon,The Vagrant
1919,November,The White Ship,The United Amateur
1920,May,The Statement of Randolph Carter,The Vagrant
1920,June,The Doom That Came to Sarnath,The Scot
1920,September,Poetry and the Gods,The United Amateur
1920,November,The Cats of Ulthar,The Tryout
1920,November,Nyarlathotep,The United Amateur
1920,December,Polaris,The Philosopher
1920,December,The Street,The Wolverine
1921,March,Ex Oblivione,The United Amateur
1921,March,Facts concerning the Late Arthur Jermyn and His Family,The Wolverine
1921,April,The Crawling Chaos,The United Co-operative
1921,July,The Terrible Old Man,The Tryout
1921,Summer,The Picture in the House,The National Amateur
1921,October,The Tree,The Tryout
1921,November,The Nameless City,The Wolverine
1922,February-July,Herbert West—Reanimator,Home Brew
1922,March,The Music of Erich Zann,The National Amateur
1922,March,The Tomb,The Vagrant
1922,May,Celephaïs,The Rainbow
1923,January-April,The Lurking Fear,Home Brew
1923,May,Hypnos,The National Amateur
1923,May,What the Moon Brings,The National Amateur
1923,November,The Horror at Martin’s Beach,Weird Tales
1924,February,The Hound,Weird Tales
1924,March,Ashes,Weird Tales
1924,March,The Rats in the Walls,Weird Tales
1924,April,The Ghost-Eater,Weird Tales
1924,May-June-July,Under the Pyramids,Weird Tales
1924,May-June-July,The Loved Dead,Weird Tales
1925,January,The Festival,Weird Tales
1925,April,Deaf Dumb and Blind,Weird Tales
1925,July,The Unnamable,Weird Tales
1925,September,The Temple,Weird Tales
1925,November,In the Vault,The Tryout
1926,April,The Outsider,Weird Tales
1926,June,The Moon-Bog,Weird Tales
1926,September,He,Weird Tales
1927,January,The Horror at Red Hook,Weird Tales
1927,Spring,The Green Meadow,The Vagrant
1927,August,Two Black Bottles,Weird Tales
1927,September,The Colour out of Space,Amazing Stories
1927,October,Pickman’s Model,Weird Tales
1928,February,The Call of Cthulhu,Weird Tales
1928,March,Cool Air,Tales of Magic and Mystery
1928,,The Shunned House,The Shunned House
1928,November,The Last Test,Weird Tales
1929,January,The Silver Key,Weird Tales
1929,April,The Dunwich Horror,Weird Tales
1929,November,The Curse of Yig,Weird Tales
1930,August,The Electric Executioner,Weird Tales
1931,August,The Whisperer in Darkness,Weird Tales
1931,October,The Strange High House in the Mist,Weird Tales
1932,March,The Trap,Strange Tales of Mystery and Terror
1932,October,The Man of Stone,Wonder Stories
1933,July,The Horror in the Museum,Weird Tales
1933,July,The Dreams in the Witch House,Weird Tales
1933,November,The Other Gods,The Fantasy Fan
1934,March,Winged Death,Weird Tales
1934,June,From Beyond,The Fantasy Fan
1934,July,Through the Gates of the Silver Key,Weird Tales
1934,,The Battle that Ended the Century,The Battle That Ended the Century
1935,April,Out of the Aeons,Weird Tales
1935,July-August,The Quest of Iranon,The Galleon
1935,Summer,“Till A’ the Seas”,The Californian
1935,September,The Challenge from Beyond,Fantasy Magazine
1936,February-April,At the Mountains of Madness,Astounding Stories
1936,,The Shadow over Innsmouth,The Shadow over Innsmouth
1936,June,The Shadow out of Time,Astounding Stories
1936,Winter,The Night Ocean,The Californian
1936,December,The Haunter of the Dark,Weird Tales
1937,January,The Thing on the Doorstep,Weird Tales
1937,January,The Disinterment,Weird Tales
1937,May,The Horror in the Burying-Ground,Weird Tales
1938,January,Ibid,The O-Wash-Ta-Nong
1938,February,The Diary of Alonzo Typer,Weird Tales
1938,,Collapsing Cosmoses,Leaves
1938,,Azathoth,Leaves
1938,,The Descendant,Leaves
1938,,The Book,Leaves
1938,,History of the Necronomicon,A History of the Necronomicon
1939,January,Medusa’s Coil,Weird Tales
1939,April,The Evil Clergyman,Weird Tales
1939,October,In the Walls of Eryx,Weird Tales
1940,Summer,The Very Old Folk,Scienti-Snaps
1940,September,The Tree on the Hill,Polaris
1940,November,The Mound,Weird Tales
1941,January,The Thing in the Moonlight,Bizarre
1941,May-July,The Case of Charles Dexter Ward,Weird Tales
1943,,The Dream-Quest of Unknown Kadath,Beyond the Wall of Sleep
1943,,Sweet Ermengarde,Beyond the Wall of Sleep
1944,,The Transition of Juan Romero,Marginalia
1959,,The Little Glass Bottle,The Shuttered Room and Other Pieces
1959,,The Secret Cave or John Lees Adventure,The Shuttered Room and Other Pieces
1959,,The Mystery of the Grave-Yard,The Shuttered Room and Other Pieces
1959,,The Mysterious Ship,The Shuttered Room and Other Pieces
1959,,Old Bugs,The Shuttered Room and Other Pieces
1994,,Discarded Draft of The Shadow over Innsmouth,The Shadow over Innsmouth
1994,,The Hoard of the Wizard-Beast,The Hoard of the Wizard-Beast and One Other
1994,,The Slaying of the Monster,The Hoard of the Wizard-Beast and One Other
