title,form,collaborators,year_written,year_published,magazine
the_alchemist,short story,,1908,1916,the united amateur
a_reminiscence_of_dr_samuel_johnson,short story,,1917,1917,the united amateur
dagon,short story,,1917,1919,the vagrant
beyond_the_wall_of_sleep,short story,,1919,1919,pine cones
the_white_ship,short story,,1919,1919,the united amateur
the_beast_in_the_cave,,,,1919,the vagrant
the_doom_that_came_to_sarnath,short story,,1919,1920,the scot
polaris,short story,,1918,1920,the philosopher
the_street,short story,,1919,1920,the wolverine
the_cats_of_ulthar,short story,,1920,1920,the tryout
poetry_and_the_gods,,anna helen crofts,1920,1920,the united amateur
nyarlathotep,short story,,1920,1920,the united amateur
the_statement_of_randolph_carter,short story,,1919,1920,the vagrant
the_tree,short story,,1920,1921,the tryout
the_crawling_chaos,,winifred v. jackson,1920,1921,the united co-operative
the_picture_in_the_house,short story,,1920,1921,the national amateur
the_nameless_city,short story,,1921,1921,the wolverine
the_terrible_old_man,short story,,1920,1921,the tryout
facts_concerning_the_late_arthur_jermyn_and_his_family,short story,,1920,1921,the wolverine
ex_oblivione,short story,,1920,1921,the united amateur
till_a_the_seas,,,,1921,the californian
the_music_of_erich_zann,short story,,1921,1922,the national amateur
the_tomb,short story,,1917,1922,the vagrant
celephaïs,short story,,1920,1922,the rainbow
herbert_westreanimator,short story,,1921,1922,home brew
under_the_pyramids,,,,1922,weird tales
what_the_moon_brings,short story,,1922,1923,the national amateur
hypnos,short story,,1922,1923,the national amateur
the_horror_at_martins_beach,,sonia greene,1922,1923,weird tales
the_lurking_fear,short story,,1922,1923,home brew
memory,flash fiction,,1919,1923,the united co-operative
the_hound,short story,,1922,1924,weird tales
the_mystery_of_the_graveyard,,,,1924,the shuttered room and other pieces
the_ghosteater,,c. m. eddy jr.,,1924,weird tales
ashes,,c. m. eddy jr.,1923,1924,weird tales
the_loved_dead,,c. m. eddy jr.,1919,1924,weird tales
the_rats_in_the_walls,short story,,1923,1924,weird tales
deaf_dumb_and_blind,,c. m. eddy jr.,,1925,weird tales
the_temple,short story,,1920,1925,weird tales
the_festival,short story,,1923,1925,weird tales
the_unnamable,short story,,1923,1925,weird tales
the_werewolf_of_ponkert,,h. warner munn,1924,1925,
in_the_vault,short story,,1925,1925,the tryout
he,short story,,1925,1926,weird tales
the_moonbog,short story,,1921,1926,weird tales
the_outsider,short story,,1921,1926,weird tales
the_colour_out_of_space,short story,,1927,1927,amazing stories
two_black_bottles,,wilfred blanch talman,1926,1927,weird tales
the_red_brain,,donald wandrei,1924,1927,
the_horror_at_red_hook,short story,,1925,1927,weird tales
pickmans_model,short story,,1926,1927,weird tales
the_green_meadow,,winifred v. jackson,1918,1927,the vagrant
the_last_test,,adolphe de castro,1927,1928,weird tales
