,title,magazine,year_published,collaboration,form
0,the_alchemist,the_united_amateur,1916,,short_story
1,a_reminiscence_of_dr_samuel_johnson,the_united_amateur,1917,,short_story
3,beyond_the_wall_of_sleep,pine_cones,1919,,short_story
4,the_white_ship,the_united_amateur,1919,,short_story
5,the_picture_in_the_house,the_national_amateur,1919,,short_story
6,memory,the_united_cooperative,1919,,flash_fiction
7,dagon,the_vagrant,1919,,short_story
8,nyarlathotep,the_united_amateur,1920,,short_story
9,the_statement_of_randolph_carter,the_vagrant,1920,,short_story
10,the_street,the_wolverine,1920,,short_story
11,polaris,the_philosopher,1920,,short_story
12,the_cats_of_ulthar,the_tryout,1920,,short_story
13,the_doom_that_came_to_sarnath,the_scot,1920,,short_story
15,facts_concerning_the_late_arthur_jermyn_and_his_family,the_wolverine,1921,,short_story
16,the_nameless_city,the_wolverine,1921,,short_story
17,the_tree,the_tryout,1921,,short_story
18,the_terrible_old_man,the_tryout,1921,,short_story
19,ex_oblivione,the_united_amateur,1921,,short_story
22,the_tomb,the_vagrant,1922,,short_story
23,celephaïs,the_rainbow,1922,,short_story
24,the_music_of_erich_zann,the_national_amateur,1922,,short_story
25,the_lurking_fear,home_brew,1923,,short_story
26,hypnos,the_national_amateur,1923,,short_story
27,what_the_moon_brings,the_national_amateur,1923,,short_story
30,the_rats_in_the_walls,weird_tales,1924,,short_story
31,the_hound,weird_tales,1924,,short_story
36,in_the_vault,the_tryout,1925,,short_story
37,the_festival,weird_tales,1925,,short_story
38,the_temple,weird_tales,1925,,short_story
39,the_unnamable,weird_tales,1925,,short_story
40,the_moonbog,weird_tales,1926,,short_story
41,he,weird_tales,1926,,short_story
42,the_outsider,weird_tales,1926,,short_story
43,the_colour_out_of_space,amazing_stories,1927,,short_story
44,pickmans_model,weird_tales,1927,,short_story
45,the_horror_at_red_hook,weird_tales,1927,,short_story
48,the_call_of_cthulhu,weird_tales,1928,,short_story
50,cool_air,tales_of_magic_and_mystery,1928,,short_story
51,the_dunwich_horror,weird_tales,1929,,novella
53,the_silver_key,weird_tales,1929,,short_story
55,the_strange_high_house_in_the_mist,weird_tales,1931,,short_story
56,the_whisperer_in_darkness,weird_tales,1931,,novella
58,the_other_gods,the_fantasy_fan,1933,,short_story
60,the_dreams_in_the_witch_house,weird_tales,1933,,short_story
62,from_beyond,the_fantasy_fan,1934,,short_story
66,the_quest_of_iranon,the_galleon,1935,,short_story
73,the_shadow_out_of_time,astounding_stories,1936,,novella
74,the_haunter_of_the_dark,weird_tales,1936,,short_story
75,at_the_mountains_of_madness,astounding_stories,1936,,novella
76,the_thing_on_the_doorstep,weird_tales,1937,,short_story
78,the_shunned_house,weird_tales,1937,,short_story
79,the_book,leaves,1938,,fragment
80,azathoth,leaves,1938,,fragment
81,ibid,the_owashtanong,1938,,short_story
84,the_descendant,leaves,1938,,fragment
86,the_evil_clergyman,weird_tales,1939,,letter_excerpt
91,the_case_of_charles_dexter_ward,weird_tales,1941,,novel
92,the_shadow_over_innsmouth,weird_tales,1942,,novella
95,the_dreamquest_of_unknown_kadath,the_arkham_sampler,1948,,novella
97,ex_oblivione,magazine_of_horror,1968,,short_story
