,title,magazine,year_published,collaboration,form
2,the_beast_in_the_cave,the_vagrant,1918,,
14,poetry_and_the_gods,the_united_amateur,1920,with_crofts_anna_helen,
20,the_crawling_chaos,the_united_cooperative,1921,with_jackson_winifred_v,
21,herbert_westreanimator_i_from_the_dark,home_brew,1922,,
28,the_horror_at_martins_beach,weird_tales,1923,davis_sonia_h,
29,ashes,weird_tales,1924,eddy_c_m_jr,
32,under_the_pyramids,weird_tales,1924,houdini_harry,
33,the_ghosteater,weird_tales,1924,eddy_c_m_jr,
34,the_loved_dead,weird_tales,1924,eddy_c_m_jr,
35,deaf_dumb_and_blind,weird_tales,1925,eddy_c_m_jr,
46,two_black_bottles,weird_tales,1927,talman_wilfred_blanch,
47,the_green_meadow,the_vagrant,1927,with_jackson_winifred_v,
49,the_last_test,weird_tales,1928,de_castro_adolphe,
52,the_curse_of_yig,weird_tales,1929,bishop_zealia_brown_reed,
54,the_electric_executioner,weird_tales,1930,de_castro_adolphe,
57,the_trap,strange_tales_of_mystery_and_terror,1932,whitehead_henry_s,
59,the_horror_in_the_museum,weird_tales,1933,heald_hazel,
61,cigarette_characterizations,fantasy_magazine,1934,with_farley_ralph_milne,
63,through_the_gates_of_the_silver_key,weird_tales,1934,with_price_e_hoffmann,
64,the_sorcery_of_aphlar,the_fantasy_fan,1934,rimel_duane_w,
65,winged_death,weird_tales,1934,heald_hazel,
67,the_challenge_from_beyond,fantasy_magazine,1935,with_moore_c_l,
68,till_a_the_seas,the_californian,1935,barlow_r_h,
69,a_fragment,the_californian,1935,barlow_r_h,
70,out_of_the_eons,weird_tales,1935,heald_hazel,
71,the_man_of_stone,wonder_stories,1935,heald_hazel,
72,the_night_ocean,the_californian,1936,barlow_r_h,
77,the_horror_in_the_burying_ground,weird_tales,1937,heald_hazel,
82,collapsing_cosmoses,leaves,1938,with_barlow_r_h,
83,the_diary_of_alonzo_typer,weird_tales,1938,lumley_william,
85,in_the_walls_of_eryx,weird_tales,1939,with_sterling_kenneth,
87,medusas_coil,weird_tales,1939,bishop_zealia_brown_reed,
88,the_mound,weird_tales,1940,bishop_zealia_brown_reed,
89,the_tree_on_the_hill,polaris,1940,rimel_duane_w,
90,the_thing_in_the_moonlight,bizarre,1941,,
93,the_battle_that_ended_the_century_ms_found_in_a_time_machine,the_acolyte,1944,with_barlow_r_h,
94,bothon,amazing_stories,1946,whitehead_henry_s,
96,sweet_ermengarde_or_the_heart_of_a_country_girl,mirage,1965,,
98,satans_servants,magazine_of_horror,1969,bloch_robert,
