text,file,sentence_count,word_count,vocabulary,character_count
dreams_in_the_witch,dreams_in_the_witch.txt,546,14626,4148,86779
ex_oblivione,ex_oblivione.txt,21,701,348,3814
poetry_of_gods,poetry_of_gods.txt,56,1866,862,10560
doorstep,doorstep.txt,422,10446,3297,60265
colour_out_of_space,colour_out_of_space.txt,500,12134,3475,68090
iranon,iranon.txt,75,2686,917,14159
street,street.txt,85,2171,871,12256
arthur_jermyn,arthur_jermyn.txt,142,3680,1438,21417
crawling_chaos,crawling_chaos.txt,107,2989,1299,17001
ulthar,ulthar.txt,47,1345,589,7351
azathoth,azathoth.txt,10,462,280,2537
shadow_out_of_time,shadow_out_of_time.txt,1006,24899,6375,147558
haunter,haunter.txt,367,9120,3279,54262
martins_beach,martins_beach.txt,92,2377,1151,14142
tree,tree.txt,57,1486,668,8465
whisperer,whisperer.txt,970,26127,6396,150818
moon_bog,moon_bog.txt,109,3413,1213,18595
unnamable,unnamable.txt,90,2698,1205,15667
beast,beast.txt,88,2480,1087,14152
alchemist,alchemist.txt,113,3676,1459,20608
terrible_old_man,terrible_old_man.txt,37,1072,533,6147
nameless,nameless.txt,158,4967,1760,28057
reanimator,reanimator.txt,442,12021,3662,71299
celephais,celephais.txt,69,2515,987,14036
gates_of_silver_key,gates_of_silver_key.txt,510,14198,4193,83819
medusas_coil,medusas_coil.txt,608,16380,4408,90508
dagon,dagon.txt,82,2211,1024,12449
picture_house,picture_house.txt,106,3186,1434,18125
memory,memory.txt,16,352,211,1923
white_ship,white_ship.txt,82,2528,942,13663
erich_zann,erich_zann.txt,126,3449,1295,19316
tomb,tomb.txt,132,4142,1712,23218
temple,temple.txt,215,5381,2029,30619
he,he.txt,116,4226,1811,23988
pickman,pickman.txt,206,5375,1984,30123
silver_key,silver_key.txt,146,4821,1848,27387
clergyman,clergyman.txt,92,1631,769,9198
old_folk,old_folk.txt,91,2516,1133,14833
from_beyond,from_beyond.txt,104,2726,1169,15544
descendent,descendent.txt,50,1525,751,8550
nyarlathotep,nyarlathotep.txt,43,1130,600,6718
vault,vault.txt,113,3287,1418,18765
hypnos,hypnos.txt,90,2737,1166,15551
polaris,polaris.txt,52,1515,681,8264
book,book.txt,45,1146,565,6398
shunned_house,shunned_house.txt,332,10640,3662,62386
pharoahs,pharoahs.txt,312,10710,3673,63107
randolph_carter,randolph_carter.txt,79,2354,1027,13319
innsmouth,innsmouth.txt,967,26487,6740,151363
charles_dexter_ward,charles_dexter_ward.txt,1651,50967,10739,296066
dunwich,dunwich.txt,621,17235,5232,100562
festival,festival.txt,116,3658,1483,20637
other_gods,other_gods.txt,51,1897,720,10325
redhook,redhook.txt,250,8071,3185,48812
hound,hound.txt,97,2922,1310,17123
outsider,outsider.txt,84,2558,1114,14505
mountains_of_madness,mountains_of_madness.txt,1338,40413,8897,245865
what_moon_brings,what_moon_brings.txt,18,699,361,3804
cool_air,cool_air.txt,115,3398,1510,19673
lurking_fear,lurking_fear.txt,276,7331,2628,43359
sarnath,sarnath.txt,92,2649,978,14943
juan_romero,juan_romero.txt,105,2683,1237,15584
cthulhu,cthulhu.txt,416,11777,3937,69371
beyond_wall_of_sleep,beyond_wall_of_sleep.txt,139,4283,1770,24900
high_house_mist,high_house_mist.txt,106,3626,1364,20238
rats_walls,rats_walls.txt,279,7822,2721,45550
kadath,kadath.txt,1285,42524,7897,241825
